id;first_name;last_name;email;position;salary
1;Raul;Souza;Alexandre19@hotmail.com;nor drat apropos;22009.13
2;Gúbio;Batista;Marcela_Batista@yahoo.com;jaywalk innocently substantial;27008.75
3;Lara;Macedo;MariaClara_Carvalho40@live.com;statue;7696.59
4;Bryan;Franco;Isabel30@yahoo.com;yum;32659.95
5;Ricardo;Barros;Bernardo14@yahoo.com;lawmaker impolite daintily;427.76
6;Maria Eduarda;Xavier;Felix55@hotmail.com;inspect onto help;10586.16
7;Marli;Silva;MariaJulia_Santos@bol.com.br;pants;6611.06
8;Yago;Braga;Igor25@bol.com.br;outfox and;16259.42
9;Lavínia;Pereira;Sophia7@gmail.com;procrastinate inasmuch;19923.63
10;Ana Laura;Nogueira;JoaoLucas_Silva@gmail.com;times till;12154.39
